idPan;panNome;siglaEstado
CECAV_03.01;Cavernas do Brasil;PR
CECAV_03.01;Cavernas do Brasil;RJ
CECAV_03.01;Cavernas do Brasil;RN
CECAV_03.01;Cavernas do Brasil;RS
CECAV_03.01;Cavernas do Brasil;RO
CECAV_03.01;Cavernas do Brasil;RR
CECAV_03.01;Cavernas do Brasil;SC
CECAV_03.01;Cavernas do Brasil;SP
CECAV_03.01;Cavernas do Brasil;SE
CECAV_03.01;Cavernas do Brasil;TO
